"category_id","name","url_name","description","meta_description","meta_keywords","auto_category_term","num_videos","last_video_id","image_id"
2103,"Stand Up (Gi) - Zone 1 - Lapel Grip - Single Lapel - Defensive - Guard Pulls","stand-up-gi-zone-1-lapel-grip-single-lapel-defensive-guard-pulls","","","","",2,2014,0
2104,"Stand Up (No Gi) - Zone 1 - Tie Up - 50 50 - Offensive - Submissions","stand-up-no-gi-zone-1-tie-up-50-50-offensive-submissions","","","","",12,2013,0
2105,"Stand Up (Gi) - Disengaged - Disengaged - Disengaged - Offensive - Guard Pulls","stand-up-gi-disengaged-disengaged-disengaged-offensive-guard-pulls","","","","",1,2014,0
2106,"Stand Up (Gi) - Zone 1 - Collar Tie - Sleeve - Offensive - Guard Pulls","stand-up-gi-zone-1-collar-tie-sleeve-offensive-guard-pulls","","","","",2,2014,0
2107,"Stand Up (Gi) - Zone 1 - Cross Collar - Sleeve - Offensive - Guard Pulls","stand-up-gi-zone-1-cross-collar-sleeve-offensive-guard-pulls","","","","",1,2014,0
2354,"Stand Up (Gi) - Zone 3 - Zone 3 - Head and Arm Throw - Defensive - Take Downs","stand-up-gi-zone-3-zone-3-head-and-arm-throw-defensive-take-downs","","","","",1,2013,0
2109,"Stand Up (No Gi) - Zone 2 - Underhook - Pinch Headlock - Offensive - Guard Pulls","stand-up-no-gi-zone-2-underhook-pinch-headlock-offensive-guard-pulls","","","","",1,2014,0
2110,"Stand Up (Gi) - Zone 1 - Lapel Grip - Single Lapel - Defensive - Throws","stand-up-gi-zone-1-lapel-grip-single-lapel-defensive-throws","","","","",4,2013,0
2111,"Stand Up (No Gi) - Zone 2 - Whizzer - Whizzer and Wrist - Offensive - Throws","stand-up-no-gi-zone-2-whizzer-whizzer-and-wrist-offensive-throws","","","","",5,2015,0
2112,"Stand Up (Gi) - Zone 1 - Lapel Grip - Single Lapel - Offensive - Throws","stand-up-gi-zone-1-lapel-grip-single-lapel-offensive-throws","","","","",6,2014,0
2113,"Stand Up (Gi) - Zone 1 - Cross Collar - Cross Collar - Offensive - Throws","stand-up-gi-zone-1-cross-collar-cross-collar-offensive-throws","","","","",2,2013,0
2114,"Stand Up (No Gi) - Zone 2 - Russian - Normal - Offensive - Throws","stand-up-no-gi-zone-2-russian-normal-offensive-throws","","","","",3,2013,0
2115,"Stand Up (Gi) - Zone 1 - Lapel Grip - 50 50 - Offensive - Trips","stand-up-gi-zone-1-lapel-grip-50-50-offensive-trips","","","","",12,2013,0
2352,"Guards - Disengaged - Laying vs. Standing - General - Top - Passes to Back","guards-disengaged-laying-vs-standing-general-top-passes-to-back","","","","",1,2015,0
2117,"Stand Up (No Gi) - Zone 2 - Underhook - Pinch Headlock - Offensive - Throws","stand-up-no-gi-zone-2-underhook-pinch-headlock-offensive-throws","","","","",4,2013,0
2118,"Stand Up (No Gi) - Zone 1 - Miscellaneous - Over Under - Offensive - Throws","stand-up-no-gi-zone-1-miscellaneous-over-under-offensive-throws","","","","",27,2013,0
2119,"Stand Up (No Gi) - Zone 1 - Inside Control - Double Bicep - Offensive - Take Downs","stand-up-no-gi-zone-1-inside-control-double-bicep-offensive-take-downs","","","","",11,2013,0
2120,"Stand Up (No Gi) - Zone 1 - Tie Up - Bicep Block - Offensive - Throws","stand-up-no-gi-zone-1-tie-up-bicep-block-offensive-throws","","","","",4,2013,0
2121,"Stand Up (No Gi) - Zone 3 - Snap Down - Front Headlock - Offensive - Take Downs","stand-up-no-gi-zone-3-snap-down-front-headlock-offensive-take-downs","","","","",6,2013,0
2122,"Stand Up (No Gi) - Zone 3 - Shot - High Tackle - Defensive - Throws","stand-up-no-gi-zone-3-shot-high-tackle-defensive-throws","","","","",3,2013,0
